"","timestamp","ETH_Close","BTC_Close","breakeven_inflation","BTC_Energy","ETH_Energy"
"317",2020-04-27,196.34,7774.62,0.78,76.28722972,7.745055861
"318",2020-04-24,187.59,7505,0.72,75.60474365,7.716465349
"319",2020-04-23,185.51,7482.39,0.67,75.37860783,7.705833461
"320",2020-04-22,182.7,7125.14,0.69,75.15314839,7.700884835
"321",2020-04-21,170.74,6841.37,0.58,74.9283633,7.691324103
"322",2020-04-20,170.2,6826.83,0.56,74.70425054,7.682721594
"323",2020-04-17,170.69,7027.55,0.67,74.03592624,7.658323069
"324",2020-04-16,172.29,7101.94,0.7,73.81448279,7.648996953
"325",2020-04-15,152.73,6621.24,0.87,73.59370169,7.640725435
"326",2020-04-14,158.45,6868.7,0.94,73.37358094,7.6335862
"327",2020-04-13,156.29,6837.91,0.94,73.15411859,7.631570302
"328",2020-04-10,157.81,6858.92,0.93,72.49966218,7.618252826
"329",2020-04-09,169.52,7283.54,0.9,72.28281374,7.621322058
"330",2020-04-08,173.11,7361.28,0.87,72.0666139,7.623210228
"331",2020-04-07,164.63,7197.32,0.86,71.85106071,7.630579916
"332",2020-04-06,171.32,7329.9,0.85,71.63615226,7.632550023
"333",2020-04-03,141.31,6734.1,0.78,70.99527598,7.628447804
"334",2020-04-02,141.28,6794.09,0.73,70.7829272,7.627973024
"335",2020-04-01,135.69,6642.92,0.56,70.57121356,7.627649032
"336",2020-03-31,132.72,6410.44,0.49,70.36013316,7.624052161
"337",2020-03-30,132.06,6394.38,0.57,70.14968411,7.62604154
"338",2020-03-27,131.33,6359.11,0.54,69.53077153,7.635600015
"339",2020-03-26,138.4,6737.36,0.72,69.32280312,7.636825059
"340",2020-03-25,136.1,6677.43,0.69,69.11545675,7.642176866
"341",2020-03-24,138.42,6744.72,0.55,68.90873056,7.647516716
"342",2020-03-23,135.92,6467.31,0.37,68.70262269,7.669642682
"343",2020-03-20,133.48,6208.36,0.31,68.08799056,7.781796734
"344",2020-03-19,136.3,6162.37,0.14,67.88433755,7.813849255
"345",2020-03-19,136.3,6162.37,0.14,67.88433755,7.813849255
"346",2020-03-18,118.11,5393.04,0.16,67.68129367,7.732425556
"347",2020-03-17,115.67,5312.64,0.16,67.4788571,7.806104681
"348",2020-03-16,111.02,5028.97,0.3,67.27702602,7.468042412
"349",2020-03-13,134.06,5578.6,0.53,73.33830606,8.102217145
"350",2020-03-12,107.82,4800,0.63,76.83752044,7.923093746
"351",2020-03-11,194.61,7934.52,0.69,77.78218074,8.037075668
"352",2020-03-10,200.7,7894.56,0.77,77.78218074,8.037924008
"353",2020-03-09,202.81,7929.87,0.8,77.78218074,8.0377085
"354",2020-03-06,244.88,9131.88,1.14,77.78218074,8.059454033
"355",2020-03-05,228.38,9054.68,1.28,77.78218074,8.07149969
"356",2020-03-04,224.26,8750.87,1.34,77.78218074,8.074460913
"357",2020-03-03,223.91,8760.07,1.34,77.78218074,8.078149922
"358",2020-03-02,231.97,8915.24,1.32,77.78218074,8.080211742
"359",2020-02-28,226.76,8692.91,1.33,77.78218074,7.953733473
"360",2020-02-27,227.79,8823.21,1.48,77.78218074,7.906829
"361",2020-02-26,223.93,8785.25,1.5,77.78218074,7.842410104
"362",2020-02-25,246.67,9315.84,1.52,77.78218074,7.824594226
"363",2020-02-24,265.52,9656.13,1.57,77.78218074,7.779146085
"364",2020-02-21,265.27,9677.05,1.6,77.68954841,7.647920452
"365",2020-02-20,256.96,9596.42,1.63,77.6493637,7.571453016
"366",2020-02-19,258.45,9593.79,1.65,77.6408111,7.559566489
"367",2020-02-18,282.61,10164.71,1.64,77.59724474,7.524008911
"368",2020-02-17,267.85,9706,1.64,77.42974012,7.508777247
"369",2020-02-14,285.15,10344.36,1.64,76.73703285,7.311074525
"370",2020-02-13,268.32,10229.63,1.65,76.50751032,7.224930325
"371",2020-02-12,265.74,10326.46,1.64,76.2786743,7.173649786
"372",2020-02-11,236.69,10223.08,1.6,76.05052273,7.176200843
"373",2020-02-10,222.89,9851.83,1.62,75.82305357,7.166279084
"374",2020-02-07,223.33,9813.73,1.61,75.14472015,7.157555417
"375",2020-02-06,213.19,9772,1.61,74.91996027,7.172059582
"376",2020-02-05,203.78,9612.04,1.61,74.69587265,7.190951814
"377",2020-02-04,188.91,9197.02,1.58,74.52818424,7.234338092
"378",2020-02-03,189.69,9292.24,1.56,74.52818424,7.253974997
"379",2020-01-31,179.99,9352.89,1.6,73.89978658,7.333650942
"380",2020-01-30,184.69,9513.21,1.59,73.67875032,7.354442216
"381",2020-01-29,173.72,9301.53,1.58,73.4583752,7.377785173
"382",2020-01-28,175.64,9374.21,1.59,73.23865922,7.425113943
"383",2020-01-27,170.08,8907.57,1.56,73.18927787,7.451078089
"384",2020-01-24,162.54,8439,1.62,73.16595428,7.559856214
"385",2020-01-23,162.81,8404.52,1.64,73.16595428,7.587442993
"386",2020-01-22,168.07,8682.36,1.64,73.16595428,7.626635688
"387",2020-01-21,169.49,8736.03,1.66,73.16595428,7.645289307
"388",2020-01-20,166.87,8642.35,1.67,73.16595428,7.66359887
"389",2020-01-17,169.85,8913.28,1.68,73.12146138,7.732160305
"390",2020-01-16,164.21,8720.01,1.68,73.12146138,7.748545322
