timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-01-26,208884.58527800,213208.67925600,199708.97559400,210267.77207400,32254.19000000,32921.88000000,30837.37000000,32467.77000000,84972.20691000,84972.20691000
2021-01-25,208918.65009000,225857.47500000,206655.54200000,208884.65004000,32259.45000000,34875.00000000,31910.00000000,32254.20000000,88499.22692100,88499.22692100
2021-01-24,207743.54360000,214174.41020000,200114.58000000,208921.56438000,32078.00000000,33071.00000000,30900.00000000,32259.90000000,57978.03796600,57978.03796600
2021-01-23,213390.79000000,216667.74720000,203288.95419200,207743.54360000,32950.00000000,33456.00000000,31390.16000000,32078.00000000,64595.28767500,64595.28767500
2021-01-22,199803.65763800,219067.37358600,186838.37000000,213359.50995400,30851.99000000,33826.53000000,28850.00000000,32945.17000000,142971.68404900,142971.68404900
2021-01-21,229699.35112600,230552.72000000,194745.81020000,199791.61190600,35468.23000000,35600.00000000,30071.00000000,30850.13000000,131803.18292600,131803.18292600
2021-01-20,232508.14382800,235832.83062200,216305.08000000,229699.35112600,35901.94000000,36415.31000000,33400.00000000,35468.23000000,89368.42291800,89368.42291800
2021-01-19,237174.37545200,245124.17000000,232133.30137200,232440.46753800,36622.46000000,37850.00000000,35844.06000000,35891.49000000,79611.30776900,79611.30776900
2021-01-18,232009.80023800,242662.11304600,225371.76000000,237231.43077400,35824.99000000,37469.83000000,34800.00000000,36631.27000000,70698.11875000,70698.11875000
2021-01-17,233110.68947600,238664.16050000,219219.37000000,232033.24408200,35994.98000000,36852.50000000,33850.00000000,35828.61000000,80157.72738400,80157.72738400
2021-01-16,237918.94416600,245771.79000000,228984.18436000,233110.68947600,36737.43000000,37950.00000000,35357.80000000,35994.98000000,86348.43150800,86348.43150800
2021-01-15,253512.20900200,257414.44331200,222833.08960000,237949.96516400,39145.21000000,39747.76000000,34408.00000000,36742.22000000,118300.92091600,118300.92091600
2021-01-14,242024.53115600,259695.62000000,237684.50572600,253507.61090000,37371.38000000,40100.00000000,36701.23000000,39144.50000000,102950.38942100,102950.38942100
2021-01-13,220509.10523000,245124.17000000,209699.35600000,242024.53115600,34049.15000000,37850.00000000,32380.00000000,37371.38000000,124477.91493800,124477.91493800
2021-01-12,229324.63819400,237210.25360000,210677.26220000,220522.64048800,35410.37000000,36628.00000000,32531.00000000,34051.24000000,133948.15199600,133948.15199600
